Question ID,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Concept,Difficulty,Discrimination,Guessing Probability
213,A binary search tree in which every non-leaf node has non-empty left and right subtrees is called a strictly binary tree. Such a tree with 19 leaves :,cannot have more than 37 nodes,has exactly 37 nodes,has exactly 35 nodes,cannot have more than 35 nodes,C,"2(n)-1 where n is the for the leaves nodes. So by that way we have exactly 37 nodes.

Option (B) is correct.",Tree,Medium,Medium,0.25
214,Consider a complete binary tree with 7 nodes. Let A denote the set of first 3 elements obtained by performing Breadth-First Search (BFS) starting from the root. Let B denote the set of first 3 elements obtained by performing Depth-First Search (DFS) starting from the root.  The value of ∣A−B∣ is _____________ .,1,2,3,4,A,"In case of BFS if we draw complete binary tree then in Set A we have level1+level2. In DFS we have level1+ level 2 + level 3. Level 1 = 1 element, level 2 = 2 elements, level 3= 4 elements. Total of 7 elements. Set A have: Level 1 = 1st element, Level 2 = 2nd &amp; 3rd element.Set B have: Level 1 = 1 element, level 2 = 2nd element, level 3= 3rd element.L1 x 1 element from L2 (A ∩ B) Element in A not in B.So A-B= remaining element of level 2. |A - B = 1|",Tree,Medium,Medium,0.25
215,"Which of the following sequences denotes the post order traversal sequence of the given tree?
         a
       /   \\
      b     e
     / \\   /
    c  d  f
   /
  g",f e g c d b a,g c b d a f e,g c d b f e a,f e d g c b a,D,,Tree,Medium,Medium,0.25
216,The in-order and pre-order traversal of a binary tree are d b e a f c g and a b d e c f g respectively. The post order traversal of a binary tree is,e d b g f c a,e d b f g c a,d e b f g c a,d e f g b c a,D,"Refer:  GATE-CS-2007 | Question 39 

Option (C) is correct.",Tree,Medium,Medium,0.25
217,"Consider an array representation of an n element binary heap where the elements are stored from index 1 to index n of the array. For the element stored at index i of the array (i&lt;=n), the index of the parent is:&nbsp;&nbsp;",ceiling (i/2),floor (i/2),ceiling ((i+1)/2),floor ((i+1)/2),A,"Refer: GATE-CS-2001 | Question 15&nbsp;To find parent of node at i index we have to find floor(i/2).&nbsp;So, option (C) is correct.&nbsp;",Tree,Medium,Medium,0.25
218,What is the worst-case number of arithmetic operations performed by recursive binary search on a sorted array of size n?,Θ(√n),Θ(log2(n)),Θ(n2),Θ(n),C,Arithmetic operations performed by binary search on sorted data items means computation of mid element required arithmetic operation. So it will be computed log(n) time and Hence option (C) will be correct.,Tree,Medium,Medium,0.25
219,"Consider a binary tree with n nodes, where each node can have at most two children. The height of the tree is defined as the maximum number of edges between the root node and any leaf node. Which of the following statements is true regarding the height h of this binary tree?",The height of the tree is always equal to n-1.,The height of the tree can be greater than or equal to n-1.,The height of the tree is always equal to log₂(n).,The height of the tree can be greater than or equal to log₂(n).,C,"In a binary tree, the height h represents the longest path from the root node to any leaf node. This path can consist of n-1 edges in the worst case, where each node has exactly one child except for the leaf nodes. However, it's also possible for a binary tree to have a height less than n-1, depending on its structure.Consider a binary tree where each parent node has only one child (left or right) while the other child is null. In this case, the height of the tree will be less than n-1. On the other hand, a balanced binary tree, such as a complete binary tree, can have a height equal to n-1 when it contains the maximum number of nodes.Therefore, option b) is correct, as the height of a binary tree can be greater than or equal to n-1, depending on its structure and the arrangement of nodes.",Tree,Medium,Medium,0.25
220,"A size-balanced binary tree is a binary tree in which for every node, the difference between the number of nodes in the left and right subtree is at most 1. The distance of a node from the root is the length of the path from the root to the node. The height of a binary tree is the maximum distance of a leaf node from the root.

a. Prove, by using induction on h, that a size-balance binary tree of height h contains at least 2h nodes.
b. In a size-balanced binary tree of height h≤1, how many nodes are at distance h−1 from the root? Write only the answer without any explanations.",,,,,,,Tree,Hard,High,0.2
221,"Draw the binary tree with node labels a, b, c, d, e, f and g for which the inorder and postorder traversals result in the following sequences:
Inorder       a f b c d g e
Postorder     a f c g e d b",,,,,,,Tree,Medium,Medium,0.25
222,Consider a complete binary tree where the left and the right subtrees of the root are max-heaps. The lower bound for the number of operations to convert the tree to a heap is,Ω(logn),Ω(n),Ω(nlogn),Ω(n2),A,"The answer to this question is simply max-heapify function.  Time complexity of max-heapify is O(Log n) as it recurses at most through height of heap.  // A recursive method to heapify a subtree with root at given index// This method assumes that the subtrees are already heapifiedvoid MinHeap::MaxHeapify(int i){    int l = left(i);    int r = right(i);    int largest = i;    if (l &lt; heap_size &amp;&amp; harr[l] &lt; harr[i])        largest = l;    if (r &lt; heap_size &amp;&amp; harr[r] &lt; harr[smallest])        largest = r;    if (largest != i)    {        swap(&amp;harr[i], &amp;harr[largest]);        MinHeapify(largest);    }}  See  for details.",Tree,Medium,Medium,0.25
223,What is the worst case time complexity of inserting n2 elements into an AVL-tree with n elements initially ?,Θ(n4),Θ(n2),Θ(n2 log n),Θ(n3),C,"Since AVL tree is balanced tree, the height is O(log n). So, time complexity to insert an element in an AVL tree is O(log n) in worst case.   Note:Every insertion of element:Finding place to insert = O(log n)If property not satisfied (after insertion) do rotation = O(log n)So, an AVL insertion take = O(log n) + O(log n) = O(log n) in worst case.   Now, given n2 element need to insert into given AVL tree, therefore, total time complexity will be O(n2 log n).  Alternative method: Time complexity in worst case, 1st insertion time complexity = O(log n)2nd insertion time complexity = O(log(n+1))...n2th insertion time complexity = O(log(n + n2))  So, total time complexity will be, = O(log n) +  O(log n+1)) + .... +  O(log(n + n2))= O(log n*(n+1)*(n+2)*...(n+n2))= O(log nn2)= O(n2 log n)   Option (C) is correct.",Tree,Hard,High,0.2
224,"The degree sequence of a simple graph is the sequence of the degrees of the nodes in the graph in decreasing order. Which of the following sequences can not be the degree sequence of any graph?&nbsp;&nbsp;I. 7, 6, 5, 4, 4, 3, 2, 1
II. 6, 6, 6, 6, 3, 3, 2, 2
III. 7, 6, 6, 4, 4, 3, 2, 2
IV. 8, 7, 7, 6, 4, 2, 1, 1 
&nbsp;",I and II,III and IV,IV only,II and IV,E,Both II and IV cannot be the degree sequence of any graph.,Graph,Easy,Low,0.27
225,The time complexity of computing the transitive closure of a binary relation on a set of n elements is known to be:,O(n),O(nLogn),O(n ^ (3/2)),O(n^3),E,The time complexity of computing the transitive closure of a binary relation on a set of n elements is O(n^3) using the Floyd-Warshall algorithm.,Graph,Hard,High,0.2
226,The most efficient algorithm for finding the number of connected components in an undirected graph on n vertices and m edges has time complexity.,theta(n),theta(m),theta(m + n),theta(mn),D,"Connected components can be found in O(m + n) using Tarjan's algorithm. Once we have connected components, we can count them.",Graph,Easy,Low,0.27
227,"Consider an undirected unweighted graph G. Let a breadth-first traversal of G be done starting from a node r. Let d(r, u) and d(r, v) be the lengths of the shortest paths from r to u and v respectively, in G. lf u is visited before v during the breadth-first traversal, which of the following statements is correct?","d(r, u) &lt; d (r, v)","d(r, u) &gt; d(r, v)","d(r, u) &lt;= d (r, v)",None of the above,D,"d(r, u) and d(r, v) will be equal when u and v are at same level, otherwise d(r, u) will be less than d(r, v)",Graph,Easy,Low,0.27
228,"How many undirected graphs (not necessarily connected) can be constructed out of a given set V= {V 1, V 2,…V n} of n vertices ?",n(n-l)/2,2^n,n!,2^(n(n-1)/2),E,"In an undirected graph, there can be maximum n(n-1)/2 edges. We can choose to have (or not have) any of the n(n-1)/2 edges.  So, total number of undirected graphs with n vertices is 2^(n(n-1)/2).",Graph,Easy,Low,0.27
229,Which of the following statements is/are TRUE for an undirected graph?&nbsp;P: The number of odd-degree vertices is even&nbsp;Q: Sum of degrees of all vertices is even,P Only,Q Only,Both P and Q,Neither P nor Q,D,"P is true for undirected graph as adding an edge always increases degree of two vertices by 1. Q is true: If we consider sum of degrees and subtract all even degrees, we get an even number because every edge increases the sum of degrees by 2. So total number of odd degree vertices must be even.",Graph,Easy,Low,0.27
230,Consider an undirected random graph of eight vertices. The probability that there is an edge between a pair of vertices is 1/2. What is the expected number of unordered cycles of length three?,01-Aug,1,7,8,D,A cycle of length 3 can be formed with 3 vertices. There can be total 8C3 ways to pick 3 vertices from 8. The probability that there is an edge between two vertices is 1/2. So expected number of unordered cycles of length 3 = (8C3)*(1/2)^3 = 7,Graph,Easy,Low,0.27
231,In which scenario would a directed acyclic graph (DAG) be most suitable?,Representing dependencies between tasks in a project schedule,Modeling a social network with friend connections,Finding the shortest path between two nodes in a weighted graph,Performing breadth-first search (BFS) on a graph,B,"Directed acyclic graphs (DAGs) are commonly used to represent dependencies between tasks in a project schedule. DAGs ensure that the tasks are organized in a way that no cycles exist, allowing for efficient scheduling and task sequencing.",Graph,Easy,Low,0.27
232,"How many undirected graphs (not necessarily connected) can be constructed out of a given set V = {v1, v2, ... vn} of n vertices?",n(n-1)/2,2n,n!,2n(n-1)/2,E,"There are total n*(n-1)/2 possible edges.  For every edge, there are to possible options, either we pick it or don't pick.   So total number of possible graphs is 2n(n-1)/2.",Graph,Easy,Low,0.27
233,What is the maximum number of edges in an acyclic undirected graph with n vertices?,n-1,n,n + 1,2n-1,B,"n * (n - 1) / 2 when cyclic. But acyclic graph with the maximum number of edges is actually a spanning tree and therefore, correct answer is n-1 edges.",Graph,Easy,Low,0.27
234,"Q84 Part_B

A sink in a directed graph is a vertex i such that there is an edge from every vertex j ≠ i to i and there is no edge from i to any other vertex. A directed graph G with n vertices is represented by its adjacency matrix A, where A[i] [j] = 1 if there is an edge directed from vertex i to j and 0 otherwise. The following algorithm determines whether there is a sink in the graph G.

i = 0
do {
    j = i + 1;
    while ((j < n) && E1) j++;
    if (j < n) E2;
} while (j < n);

flag = 1;
for (j = 0; j < n; j++)
    if ((j! = i) && E3)
        flag = 0;

if (flag)
    printf(""Sink exists"");
else
    printf(""Sink does not exist"");


Choose the correct expressions for E3

&nbsp;",(A[i][j] && !A[j][i]),(!A[i][j] && A[j][i]),(!A[i][j] | |  A[j][i]),(A[i][j] | | !A[j][i]),E,"Below explanation is for Previous Part of this question:
For vertex i to be a sink, there should be no edge from i to any other vertex.



According the input given in question,

A[i][j] = 1 means there is an edge from vertex i to j.
A[i][j] = 0 means there is no edge from i to j


For a node to i to be sink, 
A[i][j] should be 0 for all j 
A[j][i] should be 1 for all j.


The above pseudo code checks every vertex i for sink, starting from i = 0.  It basically checks every vertex j after i for being a sink.  The trick in pseudo code is, it doesn't check for j smaller than i.  The i picked by this loop may not be sink. It basically makes sure that we don't ignore a potential sink.  The check whether i is actually a sink or not is done later after do while loop.

Vertex i is a potential sink while A[i][j] is zero 
Thus, E1 : !A[i][j] 

If the above condition is false, then i is not a sink. All j < i can also not be a sink because there is no edge from i to j.
Now, the next potential sink can be j. 
So, E2 : i = j

Explanation for this question
The following pseudo code basically checks if the potential sink picked by the code above is actually a sink or not.

flag = 1;
for (j = 0; j < n; j++)
    if ((j! = i) && E3)
        flag = 0;


flag equals to 0 means i is not a sink. The code sets the flag 0 as soon as it finds out that i is not a sink.

A node i is not a sink if either of the following 
two conditions become true for any j not equal to i.
A[i][j] is 1 for any j 
OR
A[j][i] is 0 for any j

E3 : (A[i][j] | | !A[j][i])

Therefore option D is correct",Graph,Easy,Low,0.27
235,"Q85 &nbsp;Part_A  Consider a simple graph with unit edge costs. Each node in the graph represents a router. Each node maintains a routing table indicating the next hop router to be used to relay a packet to its destination and the cost of the path to the destination through that router. Initially, the routing table is empty. The routing table is synchronously updated as follows. In each updation interval, three tasks are performed.  A node determines whether its neighbours in the graph are accessible. If so, it sets the tentative cost to each accessible neighbour as 1. Otherwise, the cost is set to ∞. From each accessible neighbour, it gets the costs to relay to other nodes via that neighbour (as the next hop). Each node updates its routing table based on the information received in the previous two steps by choosing the minimum cost.   For the graph given above, possible routing tables for various nodes after they have stabilized, are shown in the following options. Identify the correct table.   


1)
Table for node A



&nbsp;A
&nbsp;-
&nbsp;-


&nbsp;B
&nbsp;B
&nbsp;1


&nbsp;C
&nbsp;C
&nbsp;1


&nbsp;D
&nbsp;B
&nbsp;3


&nbsp;E
&nbsp;C
&nbsp;3


&nbsp;F
&nbsp;C
&nbsp;4


    2) Table for node C
   &nbsp;A &nbsp;A &nbsp;1   &nbsp;B &nbsp;B &nbsp;1   &nbsp;C &nbsp;- &nbsp;-   &nbsp;D &nbsp;D &nbsp;1   &nbsp;E &nbsp;E &nbsp;1   &nbsp;F &nbsp;E &nbsp;3        3) Table for node B
   &nbsp;A &nbsp;A &nbsp;1   &nbsp;B &nbsp;- &nbsp;-   &nbsp;C &nbsp;C &nbsp;1   &nbsp;D &nbsp;D &nbsp;1   &nbsp;E &nbsp;C &nbsp;2   &nbsp;F &nbsp;D &nbsp;2       4) Table for node D
   &nbsp;A &nbsp;B &nbsp;3   &nbsp;B &nbsp;B &nbsp;1   &nbsp;C &nbsp;C &nbsp;1   &nbsp;D &nbsp;- -   &nbsp;E &nbsp;E &nbsp;1   &nbsp;F &nbsp;F &nbsp;1",A,B,C,D,C,&nbsp;  This solution is contributed by Sandeep Pandey.,Graph,Easy,Low,0.27
236,"Q85 Part_B

Consider a simple graph with unit edge costs. Each node in the graph represents a router. Each node maintains a routing table indicating the next hop router to be used to relay a packet to its destination and the cost of the path to the destination through that router. Initially, the routing table is empty. The routing table is synchronously updated as follows. In each updation interval, three tasks are performed.

A node determines whether its neighbours in the graph are accessible. If so, it sets the tentative cost to each accessible neighbour as 1. Otherwise, the cost is set to ∞.
From each accessible neighbour, it gets the costs to relay to other nodes via that neighbour (as the next hop).
Each node updates its routing table based on the information received in the previous two steps by choosing the minimum cost.


For the graph given above, possible routing tables for various nodes after they have stabilized, are shown in the following options. Identify the correct table.





1)
Table for node A



 A
 -
 -


 B
 B
 1


 C
 C
 1


 D
 B
 3


 E
 C
 3


 F
 C
 4






2)
Table for node C



 A
 A
 1


 B
 B
 1


 C
 -
 -


 D
 D
 1


 E
 E
 1


 F
 E
 3







3)
Table for node B



 A
 A
 1


 B
 -
 -


 C
 C
 1


 D
 D
 1


 E
 C
 2


 F
 D
 2






4)
Table for node D



 A
 B
 3


 B
 B
 1


 C
 C
 1


 D
 -
-


 E
 E
 1


 F
 F
 1







Continuing from the earlier problem, suppose at some time t, when the costs have stabilized, node A goes down. The cost from node F to node A at time (t + 100) is",>100 but finite,∞,3,>3 and ≤100,B,,Graph,Easy,Low,0.27
237,"For the undirected, weighted graph given below, which of the following sequences of edges represents a correct execution of Prim's algorithm to construct a Minimum Span­ning Tree?
&nbsp;","(a, b), (d, f), (f, c), (g, i), (d, a), (g, h), (c, e), (f, h)","(c, e), (c, f), (f, d), (d, a), (a, b), (g, h), (h, f), (g, i)","(d, f), (f, c), (d, a), (a, b), (c, e), (f, h), (g, h), (g, i)","(h, g), (g, i), (h, f), (f, c), (f, d), (d, a), (a, b), (c, e)",D,In prims algorithm we start with any node and keep on exploring minimum cost neighbors of nodes already covered.,Graph,Easy,Low,0.27
238,Consider a directed graph with n vertices and m edges such that all edges have same edge weights. Find the complexity of the best known algorithm to compute the minimum spanning tree of the graph?,O(m+n),O(m logn),O(mn),O(n logm),B,"It’s a special case in which all edge weights are equal, so dfs would work and resultant depth first tree would be the spanning tree. So the answer would be O(m+n).",Graph,Easy,Low,0.27
239,You are given a graph containing n vertices and m edges and given that the graph doesn’t contain cycle of odd length. Time Complexity of the best known algorithm to find out whether the graph is bipartite or not is ?,O(m+n),O(1),O(mn),O(n2),C,"It is by definition that a graph is bipartite if it does not contain odd length cycles. So the answer is O(1).For more background reading, check this link&nbsp;https://proofwiki.org/wiki/Graph_is_Bipartite_iff_No_Odd_Cycles",Graph,Medium,Medium,0.25
240,"Let G be a simple graph with 20 vertices and 8 components. If we delete a vertex in G, then number of components in G should lie between ____.",8 and 20,8 and 19,7 and 19,7 and 20,D,"Case 1: If the vertex we are deleting from G is an isolated vertex, which is a component by itself, then number of components in G becomes 7.
Case 2: If G is a start Graph, then by deleting the cut vertex of G, we get 19 components.
Hence, number of components in G should lie between 7 and 19.",Graph,Easy,Low,0.27
241,Let G be the graph with 100 vertices numbered 1 to 100. Two vertices i and j are adjacent if |i−j|=8&nbsp;or |i−j|=12. The number of connected components in G is,8,4,12,25,C,"When vertices are arranged with difference of 12 the number of components is reduced to 4 as first column will be connected with fifth column, second column will be connected with sixth column, third column will be connected with seventh column and fourth column will be connected with eighth column. No other form of connection exists so total 4 connected components are there.&nbsp;So, option (B) is correct.&nbsp;",Graph,Medium,Medium,0.25
242,"A complete, undirected, weighted graph G is given on the vertex {0, 1,...., n−1} for any fixed ‘n’. Draw the minimum spanning tree of G if

a) the weight of the edge (u,v) is ∣ u−v ∣
b) the weight of the edge (u,v) is u + v",1,2,3,4,D,,Graph,Easy,Low,0.27
243,Which of the following data structure is useful in traversing a given graph by breadth first search?,Stack,List,Queue,None of the above.,D,BFS performs level-order traversal which can be fairly done using a queue. A queue uses FIFO ordering and the nodes that we enqueue first are explored first maintaining the order of traversal.,Graph,Medium,Medium,0.25
244,"In the following graph, discovery time stamps and finishing time stamps of Depth First Search (DFS) are shown as x/y, where x is discovery time stamp and y is finishing time stamp.


It shows which of the following depth first forest?","{a, b, e} {c, d, f, g, h}","{a, b, e} {c, d, h} {f, g}","{a, b, e} {f, g} {c, d} {h}","{a, b, c, d} {e, f, g} {h}",B,,Graph,Medium,Medium,0.25
245,Consider a segment tree built on an array of N elements. What is the minimum number of node updates required to rebuild the entire tree if the original array is reversed?,N,N - 1,2N - 1,N log N,D,"Rebuilding the entire segment tree requires updating each node, and the minimum number of nodes in a segment tree is 2N-1.",Graph,Medium,Medium,0.25
246,Which of the following according to you is incorrect?,Trie is also known as prefix tree,Trie requires less storage space than hashing,Trie allows listing of all the words with same prefix,Tries are collision free,C,"Both the hashing and the trie provides searching in the linear time. But trie requires extra space for storage and it is collision free. And trie allows finding all the strings with same prefix, so it is also called prefix tree. Hence , option B is the correct option.",Graph,Medium,Medium,0.25
247,Which of the following statements about disjoint-set forests is false?,Disjoint-set forests can be used to efficiently detect cycles in a graph.,Disjoint-set forests can handle disconnected components efficiently.,The union operation in disjoint-set forests can be performed in constant time.,Disjoint-set forests are commonly used in minimum spanning tree algorithms.,D,"The union operation in disjoint-set forests, using union by rank and path compression, takes time proportional to the inverse Ackermann function, which is not constant but extremely slow-growing.",Graph,Medium,Medium,0.25
248,"In an undirected connected planar graph G, there are eight vertices and five faces. The number of edges in G is _________.",10,11,12,6,C,"By using Euler’s theorem, the number of regions = e - v + 2 
R = e - v + 2
5 = e - 8 + 2 = e-6
e = 5+6 = 11",Graph,Easy,Low,0.27
249,Consider the following undirected graph with edge weights as shown: The number of minimum-weight spanning trees of the graph is ___________.,3,4,5,2,A,"There are 3 edges between these components to connect them.  According to Kruskal's algorithm edges with weight 0.1 are significantly lighter. So the MST will consist only of edges with weight 0.1.We will include minimum weights edges first if there is no cycle resultant. But we need only one edge to form spanning tree, and we have 3 options for one edge. Hence, number of spanning trees are 3.",Graph,Easy,Low,0.27
250,The cyclomatic complexity of the flow graph of a program provides &nbsp;,an upper bound for the number of tests that must be conducted to ensure that all statements have been executed at most once,a lower bound for the number of tests that must be conducted to ensure that all statements have been executed at most once,an upper bound for the number of tests that must be conducted to ensure that all statements have been executed at least once,a lower bound for the number of tests that must be conducted to ensure that all statements have been executed at least once,D,"Option (C) is correct, because the cyclomatic complexity of the flow graph of a program provides an upper bound for the number of tests that must be conducted to ensure that all statements have been executed at least once.",Graph,Hard,High,0.2
251,What is the largest integer m such that every simple connected graph with n vertices and n edges contains at least m different spanning trees?,1,2,3,n,D,"A graph is connected iff all nodes can be traversed from each node. For a graph with n nodes, there will be n-1 minimum number of edges. 
Given that there are n edges, that means a cycle is there in the graph.
The simplex graph with these conditions may be:



Now we can make a different spanning tree by removing one edge from the cycle, one at a time.
Minimum cycle length can be 3, So, there must be atleast 3 spanning trees in any such Graph.",Graph,Easy,Low,0.27
252,Which of the following is an advantage of adjacency list representation over adjacency matrix representation of a graph?,"In adjacency list representation, space is saved for sparse graphs.",DFS and BSF can be done in O(V + E) time for adjacency list representation. These operations take O(V^2) time in adjacency matrix representation. Here is V and E are number of vertices and edges respectively.,Adding a vertex in adjacency list representation is easier than adjacency matrix representation.,All of the above,E,See http://www.geeksforgeeks.org/graph-and-its-representations/,Graph,Medium,Medium,0.25
253,What is the worst case efficiency for a path compression algorithm?,O(M log N),O(N log N),O(log N),O(N),B,"The worst case efficiency for a path compression algorithm is mathematically found to be O(M log N).
Hence , option A is correct.",Graph,Hard,High,0.2
254,Trie is also known as _____,Treap,Binomial Tree,2-3 Tree,Digital Tree,E,"Trie is also known as Digital tree. Hence , option D is the correct answer.",Graph,Medium,Medium,0.25
255,"Let G be a weighted undirected graph and e be an edge with maximum weight in G. Suppose there is a minimum weight spanning tree in G containing the edge e. Which of the following statements is always TRUE?

&nbsp;",There exists a cutset in G having all edges of maximum weight.,There exists a cycle in G having all edges of maximum weight,Edge e cannot be contained in a cycle.,All edges in G have the same weight,B,"Background :  Given a connected and undirected graph, a spanning tree of that graph is a subgraph that is a tree and connects all the vertices together. 

 A spanning tree has exactly V - 1 edges.
 A single graph can have many different spanning trees. A minimum spanning tree (MST) or minimum weight spanning tree for a weighted, connected and undirected graph is a spanning tree with weight less than or equal to the weight of every other spanning tree. The weight of a spanning tree is the sum of weights given to each edge of the spanning tree.
 There can be more that one possible spanning trees of a graph. For example, the graph in this question has 6 possible spanning trees.
 MST has lightest edge of every cutset. Remember Prim's algorithm which basically picks the lightest edge from every cutset. 


Choices of this question : 
a) There exists a cutset in G having all edges of maximum weight  : This is correct. If there is a heaviest edge in MST, then there exist a cut with all edges with weight equal to heavies edge.  See point 4 discussed in above background.


b) There exists a cycle in G having all edges of maximum weight :  Not always TRUE. The cutset of heaviest edge may contain only one edge.  In fact there may be overall one edge of heavies weight which is part of MST (Consider a graph with two components which are connected by only one edge and this edge is the heavies)

c) Edge e cannot be contained in a cycle. Not Always True. The curset may form cycle with other edges.

d) All edges in G have the same weight Not always True. As discussed in option b, there can be only one edge of heaviest weight.",Graph,Easy,Low,0.27
256,"Let G be the directed, weighted graph shown in below figure



We are interested in the shortest paths from A.

(a) Output the sequence of vertices identified by the Dijkstra’s algorithm for single source shortest path when the algorithm is started at node A.
(b) Write down sequence of vertices in the shortest path from A to E.
(c) What is the cost of the shortest path from A to E?",,,,,,"According to Dijkstra's algorithm:
(a) Sequence of vertices when algorithm start traversing from A: A -> B -> D -> C -> F -> E
(b) The sequence remain same as answer (a).
(c) Cost of the shortest path from A to E is 84.",Graph,Easy,Low,0.27
257,Consider a segment tree built on an array of N elements. What is the time complexity of updating a range of elements in the segment tree?,O(log N),O(N),"O(log N + K), where K is the number of elements in the range",O(N log N),C,"Updating a range of elements in a segment tree requires visiting each affected node, resulting in a time complexity of O(N).",Graph,Hard,High,0.2
258,Which of the following operations can be efficiently performed using a segment tree?,Finding the longest increasing subsequence in a given range,Finding the most frequent element in a given range,Finding the number of inversions in a given range,Finding the top K elements in a given range,D,A segment tree can efficiently find the number of inversions in a given range by performing a modified merge sort algorithm.,Graph,Medium,Medium,0.25
259,"The following code snippet is the function to insert a string in a trie. Find the missing line.
        C++
        
        void insert(const std::string &amp;str) {
    TrieNode *node = root;
    for (int i = 0; i &lt; str.length(); i++) {
        int index = str[i] - &#39;a&#39;;
        if (node-&gt;children[index] == nullptr)
            node-&gt;children[index] = new TrieNode();
        // ________________________
    }
    node-&gt;isEndOfWord = true;
}

        
    
        C
        
        void insert(char *str) {
    TrieNode *node = root;
    for (int i = 0; i &lt; length; i++) {
        int index = str[i] - &#39;a&#39;;
        if (node-&gt;children[index] == NULL)
            node-&gt;children[index] = (TrieNode *)malloc(sizeof(TrieNode));
        _________________________
    }
    node-&gt;isEndOfWord = 1;
}

        
    
        Java
        
        private void insert(String str){
   TrieNode node = root;
   for (int i = 0; i &lt; length; i++){
       int index = key.charAt(i) - &#39;a&#39;;
       if (node.children[index] == null)
          node.children[index] = new TrieNode();
       ________________________
   }
   node.isEndOfWord = true;
}

        
    
        Python
        
        def insert(self, str):
    node = self.root
    for i in range(len(str)):
        index = ord(str[i]) - ord(&#39;a&#39;)
        if node.children[index] is None:
            node.children[index] = TrieNode()
        ___________________________
    node.isEndOfWord = True

        
    
        JavaScript
        
        insert(str) {
    let node = this.root;
    for (let i = 0; i &lt; str.length; i++) {
        let index = str.charCodeAt(i) - &#39;a&#39;.charCodeAt(0);
        if (node.children[index] === null)
            node.children[index] = new TrieNode();
        ____________________________
    }
    node.isEndOfWord = true;
}",node = node.children[index];,&nbsp;node = node.children[str.charAt(i + 1)];,node = node.children[index++];,node = node.children[index++];,A,"After checking if the current node has a child at the given index, we need to move to the next node in the trie. The missing line moves the current target node to next node after checking the current node. node = node-&gt;children[index]; / node = node.children[index];Hence (A) is the correct option.",Graph,Medium,Medium,0.25
260,Which of the following is not true?,Trie requires less storage space than hashing,Trie allows listing of all the words with same prefix,Tries are collision free,Trie is also known as prefix tree,B,,Graph,Medium,Medium,0.25
261,"Given a disjoint-set forest with N elements, what is the maximum height of the trees in the forest after M union operations if union by rank and path compression techniques are used?",O(M),O(logM),O(N),O(N + M),C,"Using union by rank and path compression, the maximum height of the trees in the forest after M union operations is logarithmic with respect to M, resulting in a time complexity of O(log M).",Graph,Medium,Medium,0.25
262,Which of the following ways can be used to represent a graph?,Adjacency List and Adjacency Matrix,Incidence Matrix&nbsp;,"Adjacency List, Adjacency Matrix and Incidence Matrix",None of the above,D,"Adjacency Matrix, Adjacency List and Incidence Matrix are used to represent a graph.",Graph,Medium,Medium,0.25
263,"For a given graph G having v vertices and e edges which is connected and has no cycles, which of the following statements is true?",v=e&nbsp;,v = e+1,v + 1 = e,v = e-1,C,For any connected graph with no cycles the equation holds true.,Graph,Medium,Medium,0.25
264,Which of the following is true?&nbsp;,A graph may contain no edges and many vertices,A graph may contain many edges and one vertex,A graph may contain no edges and no vertices,A graph may contain no vertices and many edges,C,A graph must contain at least one vertex.,Graph,Medium,Medium,0.25
265,"Time Complexity of DFS is? (V – number of vertices, E – number of edges)",O(V + E),O(V),O(E),O(V*E),B,"The Depth First Search explores every node once and every edge once (in worst case), so it’s time complexity is O(V + E).",Graph,Hard,High,0.2
266,"A person wants to visit some places. He starts from a vertex and then wants to visit every vertex till it finishes from one vertex, backtracks and then explore other vertex from same vertex. What algorithm he should use?",Depth First Search,Breadth First Search,Trim’s algorithm,Kruskal’s Algorithm,B,"This is the definition of the Depth First Search. Exploring a node, then aggressively finding nodes till it is not able to find any node.",Graph,Hard,High,0.2
267,A bridge cannot be a part of&nbsp;,a simple cycle&nbsp;,a tree,a clique with size&gt;=3 whose every edge is a bridge,a graph which contains cycle,B,"In a connected graph, a bridge is an edge whose removal disconnects the graph. In a cycle if we remove an edge, it will still be connected. So, bridge cannot be a part of cycle.",Graph,Medium,Medium,0.25
268,Which of the following is the most commonly used data structure for implementing Dijkstra’s Algorithm?,Max priority queue,Stack,Circular queue,Min priority queue,E,Minimum priority queue is the most commonly used data structure for implementing Dijkstra’s Algorithm because the required operations to be performed in Dijkstra’s Algorithm match with specialty of a minimum priority queue.,Graph,Hard,High,0.2
269,What is the time complexity of Dijkstra’s algorithm?,O(N),O(N3),O(N2),O(logN),D,Time complexity of Dijkstra’s algorithm is O(N2) because of the use of doubly nested for loops. It depends on how the table is manipulated.,Graph,Hard,High,0.2
270,"In most of the cases, topological sort starts from a node which has __________",Maximum Degree,Minimum Degree,Any degree,Zero Degree,E,Topological sort starts with a node which has zero degree. If multiple such nodes exists then it can start with any node.,Graph,Medium,Medium,0.25
271,Topological sort can be implemented by?,Using Depth First Search,Using Breadth First Search,Using Depth and Breadth First Search,Using level ordered search,D,"We can implement topological sort by both BFS and DFS. In BFS, we use queue as data structure and in DFS, we use Linked list (if recursive) or Stack (if not recursive) as data structure.",Graph,Medium,Medium,0.25
